timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1669125599671,74,Survey Scale,405,Not Allowed,Backend 2-53,text,false,,314,272,74,417,http://192.168.0.16/:8080/survey/scale,74,0,10
1669125599620,153,Survey Scale,405,Not Allowed,Backend 2-3,text,false,,314,272,108,473,http://192.168.0.16/:8080/survey/scale,153,0,62
1669125599632,146,Survey Scale,405,Not Allowed,Backend 2-14,text,false,,314,272,111,480,http://192.168.0.16/:8080/survey/scale,146,0,48
1669125599746,51,Survey Scale,405,Not Allowed,Backend 2-53,text,false,,314,272,133,516,http://192.168.0.16/:8080/survey/scale,51,0,0
1669125599673,129,Survey Scale,405,Not Allowed,Backend 2-45,text,false,,314,272,138,525,http://192.168.0.16/:8080/survey/scale,129,0,10
1669125599675,127,Survey Scale,405,Not Allowed,Backend 2-2,text,false,,314,272,138,526,http://192.168.0.16/:8080/survey/scale,127,0,25
1669125599676,126,Survey Scale,405,Not Allowed,Backend 2-35,text,false,,314,272,138,526,http://192.168.0.16/:8080/survey/scale,126,0,24
1669125599674,134,Survey Scale,405,Not Allowed,Backend 2-1,text,false,,314,272,146,537,http://192.168.0.16/:8080/survey/scale,134,0,9
1669125599686,123,Survey Scale,405,Not Allowed,Backend 2-19,text,false,,314,272,149,540,http://192.168.0.16/:8080/survey/scale,123,0,20
1669125599686,123,Survey Scale,405,Not Allowed,Backend 2-11,text,false,,314,272,149,540,http://192.168.0.16/:8080/survey/scale,123,0,20
1669125599704,105,Survey Scale,405,Not Allowed,Backend 2-30,text,false,,314,272,149,540,http://192.168.0.16/:8080/survey/scale,105,0,14
1669125599679,130,Survey Scale,405,Not Allowed,Backend 2-29,text,false,,314,272,149,540,http://192.168.0.16/:8080/survey/scale,130,0,21
1669125599702,107,Survey Scale,405,Not Allowed,Backend 2-23,text,false,,314,272,149,540,http://192.168.0.16/:8080/survey/scale,107,0,18
1669125599703,106,Survey Scale,405,Not Allowed,Backend 2-31,text,false,,314,272,149,540,http://192.168.0.16/:8080/survey/scale,106,0,17
1669125599690,126,Survey Scale,405,Not Allowed,Backend 2-17,text,false,,314,272,152,549,http://192.168.0.16/:8080/survey/scale,125,0,34
1669125599689,127,Survey Scale,405,Not Allowed,Backend 2-13,text,false,,314,272,152,549,http://192.168.0.16/:8080/survey/scale,127,0,19
1669125599680,136,Survey Scale,405,Not Allowed,Backend 2-7,text,false,,314,272,152,549,http://192.168.0.16/:8080/survey/scale,136,0,20
1669125599682,136,Survey Scale,405,Not Allowed,Backend 2-6,text,false,,314,272,157,554,http://192.168.0.16/:8080/survey/scale,136,0,21
1669125599683,135,Survey Scale,405,Not Allowed,Backend 2-10,text,false,,314,272,157,554,http://192.168.0.16/:8080/survey/scale,135,0,20
1669125599773,45,Survey Scale,405,Not Allowed,Backend 2-3,text,false,,314,272,157,554,http://192.168.0.16/:8080/survey/scale,45,0,0
1669125599683,135,Survey Scale,405,Not Allowed,Backend 2-9,text,false,,314,272,157,554,http://192.168.0.16/:8080/survey/scale,135,0,20
1669125599702,116,Survey Scale,405,Not Allowed,Backend 2-28,text,false,,314,272,157,555,http://192.168.0.16/:8080/survey/scale,116,0,18
1669125599703,123,Survey Scale,405,Not Allowed,Backend 2-24,text,false,,314,272,165,571,http://192.168.0.16/:8080/survey/scale,123,0,17
1669125599701,125,Survey Scale,405,Not Allowed,Backend 2-26,text,false,,314,272,165,571,http://192.168.0.16/:8080/survey/scale,125,0,20
1669125599690,136,Survey Scale,405,Not Allowed,Backend 2-18,text,false,,314,272,165,571,http://192.168.0.16/:8080/survey/scale,136,0,34
1669125599687,139,Survey Scale,405,Not Allowed,Backend 2-12,text,false,,314,272,165,571,http://192.168.0.16/:8080/survey/scale,139,0,19
1669125599689,137,Survey Scale,405,Not Allowed,Backend 2-16,text,false,,314,272,165,571,http://192.168.0.16/:8080/survey/scale,137,0,35
1669125599694,154,Survey Scale,405,Not Allowed,Backend 2-20,text,false,,314,272,187,612,http://192.168.0.16/:8080/survey/scale,154,0,30
1669125599701,147,Survey Scale,405,Not Allowed,Backend 2-27,text,false,,314,272,187,612,http://192.168.0.16/:8080/survey/scale,147,0,20
1669125599691,158,Survey Scale,405,Not Allowed,Backend 2-4,text,false,,314,272,188,614,http://192.168.0.16/:8080/survey/scale,158,0,33
1669125599695,154,Survey Scale,405,Not Allowed,Backend 2-21,text,false,,314,272,188,614,http://192.168.0.16/:8080/survey/scale,154,0,29
1669125599729,123,Survey Scale,405,Not Allowed,Backend 2-48,text,false,,314,272,190,619,http://192.168.0.16/:8080/survey/scale,123,0,15
